(Do Not Modify) Workplans,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Domain,Programme,Programme Element,Programme Component,Activity Code,Activity Name,Activity Description,Programme Legal,Decimal Associated Costs Percentage
fb3f95e2-490e-f011-998b-6045bddd5948,q7EZ7vROU7wPd5UdGJ1gJ+ixdAO/1H+46meiFCi2z+txWdYOilX4MP+9V3VUbs3j48Am95HXdoxna1QUstZuzA==,31/03/2025 16:07,,domain,programme,element,component,activitycode,activityname,activitycode activityname,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
fd3f95e2-490e-f011-998b-6045bddd5948,t1irUMENQnZ7Jmbgc0Lcbuy284vA6PihXANnjgpixSAZ1aDoAEDnvE7NDB+vy8E8nDXGLjFsmaDjlejyh2EtuA==,31/03/2025 16:07,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-01 (13),R-Space,description,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
ff3f95e2-490e-f011-998b-6045bddd5948,LsEkKd9BwVhgIn3erOP7UWKPUzYa59957uZ+nbWdaKcAKktOnUd4vlbSPz5WgFzPLsHY33l1OhU7qkUOJ3YWDw==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-01,ISAR Aerospace,description,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
014095e2-490e-f011-998b-6045bddd5948,tgG8PKf+4BsBt8Rk7dn8mYAd2t/ZJ7Q1R7XL7+XkUZOX1EByJwHHp7AaWZPj9j+f+gG9K2ZT+MzLJqW/LJdfOg==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-02,Constellr,SU1-BG-02 Constellr,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
034095e2-490e-f011-998b-6045bddd5948,KVYhD5NkQITsrpjoqNOTwPTCiB9g2+7DB3zxJ+gmoWdzPx1DXZae8rzHmcubTh3N9YpY6tQ3xRb4Ud//mLahdw==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-03,Vyoma (+Exolaunch),SU1-BG-03 Vyoma (+Exolaunch),"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
054095e2-490e-f011-998b-6045bddd5948,sKbDP52Qlb+FSKywQK7GKV+Ft33EzCvWoDRFgy61j1klgP29olHjxPoYuHm1u0HU3qAB+gvhUR7rW2RbHWG4jw==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-04,Aerospace lab - Xona,SU1-BG-04 Aerospace lab - Xona,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
074095e2-490e-f011-998b-6045bddd5948,4WKVU+7Qg6rPCIgtl7I4fHbi196J+sD3lybFNKEAwBBlp4rB8kkKQkinHIjqkSMfdS5FnriOemmoGD+Tqoa8Fw==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-05,Dcubed (+Exotrail),SU1-BG-05 Dcubed (+Exotrail),"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
094095e2-490e-f011-998b-6045bddd5948,m3L884U8ZGemjT+D1oZPgsDXgM8x+uiatq//jUz7jePPuNLnsJalE5+x0Ay7xAESvb2Xu3a+ICnaO3w+c6/quw==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-06,Sat:io (+Vyoma),SU1-BG-06 Sat:io (+Vyoma),"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
0b4095e2-490e-f011-998b-6045bddd5948,QlOhigay7X1GNDA8nV/pLBVAIDUFg6t6JN5ZRwZT64274VzPqLgNE3wDQB4y4OutWUpwdLSTeUEZ8EKSdSsXAw==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-07,SatVu,SU1-BG-07 SatVu,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
0d4095e2-490e-f011-998b-6045bddd5948,U4vXmpt87NLWleePe32dghGtXuFv51auCvp90O6BWsETJO0xin9kuM0RIwiIxOaTjTcmAy+RVx2wAahiXVi66w==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-08,Exobotics (+SpaceLocker0,SU1-BG-08 Exobotics (+SpaceLocker0,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
0f4095e2-490e-f011-998b-6045bddd5948,GWgvINQ3Rx3GoppONeUWS4g62S/u/hJSQCitzwXXV6aQtsd5qFxbpU3vAokRXwz+ByoUpltKLAR9/kg29fB+GQ==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-09,Aerospace Lab,SU1-BG-09 Aerospace Lab,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
114095e2-490e-f011-998b-6045bddd5948,and0kvJQkFCQkY/0xXRJ7jCD7t0vefwzsLE8bPvjfoBgVa7826rFJySGEAAWsv+cvt3Mwb0Ckk+t8BwllyDZ2Q==,31/03/2025 16:08,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-10,Aerospace lab - Vyoma,SU1-BG-10 Aerospace lab - Vyoma,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
134095e2-490e-f011-998b-6045bddd5948,P1Ja2/YQ0rxV3uPS3QGrTTxF4zh5PYrPgN6vGrynQcE37B4cv0wzYnRNhzS4QCuhkO5MH7o2r8UT65N+9bJ6Dg==,31/03/2025 16:09,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-11,Magdrive (+D-Orbit),SU1-BG-11 Magdrive (+D-Orbit),"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
154095e2-490e-f011-998b-6045bddd5948,gRqEgP4owBCn/CkQD+M/KATRg+IUIO4V5gcL5829YQZCfGBD3OPc6hKMFg20jVGOzXMdyhO7i9QFGgAhhqCJUQ==,31/03/2025 16:09,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-12,Archangel,SU1-BG-12 Archangel,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
174095e2-490e-f011-998b-6045bddd5948,tRHWvhMpWY2zbvRUPHXoaV96kkdhqs1c0Wyr8O99nwxE9aKzYDVFiskswzgQGlTGMlnQvONrCdhYc1X9KfrUiQ==,31/03/2025 16:09,,Commercialisation,Invest,ScaleUp,Business Growth,SU1-BG-13,Yuri,SU1-BG-13 Yuri,"In accordance with Article 2.1 of Appendix 1 to the Implementing Rules for the ScaleUp Programme (ESA/C/CCCX/Rules 6, attached to ESA/C(2022)208), the Delegation of {{Member_State}} hereby requests that the Agency implement the following activity, within the maximum funding authorised below:",17.67
